record_id,source,literacy_band,pool_size,rank,precision_at_1,recall_at_5,recall_at_10,reciprocal_rank
medmcqa_24074,medmcqa,low,4264,3,0,1,1,0.3333333333333333
medmcqa_24822,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_26693,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_27618,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20044,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_21803,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13201,medmcqa,low,4264,1,1,1,1,1.0
mirage_33416,mirage,low,4264,1,1,1,1,1.0
medmcqa_29650,medmcqa,low,4264,15,0,0,0,0.06666666666666667
medmcqa_21442,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_27919,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12558,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_16187,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_26694,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12337,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12414,medmcqa,low,4264,2,0,1,1,0.5
mirage_36988,mirage,low,4264,1,1,1,1,1.0
medmcqa_30811,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22769,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_14810,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_16158,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_25362,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_31186,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20219,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_23761,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_23733,medmcqa,low,4264,271,0,0,0,0.0036900369003690036
medmcqa_16248,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_18842,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19382,medmcqa,low,4264,3,0,1,1,0.3333333333333333
medmcqa_23296,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_18336,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_17163,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12171,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_18705,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_15109,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12201,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_25093,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12012,medmcqa,low,4264,1,1,1,1,1.0
mirage_37641,mirage,low,4264,1,1,1,1,1.0
mirage_37568,mirage,low,4264,1,1,1,1,1.0
medmcqa_20964,medmcqa,low,4264,3,0,1,1,0.3333333333333333
medmcqa_16417,medmcqa,low,4264,1,1,1,1,1.0
medqa_1443,medqa,low,4264,13,0,0,0,0.07692307692307693
medmcqa_15797,medmcqa,low,4264,1,1,1,1,1.0
mirage_33808,mirage,low,4264,1,1,1,1,1.0
medmcqa_19575,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19057,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20767,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_21772,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12055,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_17457,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_28237,medmcqa,low,4264,1,1,1,1,1.0
mirage_36530,mirage,low,4264,1,1,1,1,1.0
medmcqa_12689,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13766,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_12011,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_23433,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_14103,medmcqa,low,4264,193,0,0,0,0.0051813471502590676
medmcqa_12219,medmcqa,low,4264,4,0,1,1,0.25
medmcqa_21686,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_21112,medmcqa,low,4264,3,0,1,1,0.3333333333333333
mirage_34581,mirage,low,4264,1,1,1,1,1.0
mirage_37122,mirage,low,4264,1,1,1,1,1.0
mirage_34199,mirage,low,4264,1,1,1,1,1.0
medmcqa_25831,medmcqa,low,4264,127,0,0,0,0.007874015748031496
medmcqa_12756,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20249,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_23832,medmcqa,low,4264,4,0,1,1,0.25
medmcqa_18119,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_25423,medmcqa,low,4264,291,0,0,0,0.003436426116838488
medmcqa_24611,medmcqa,low,4264,11,0,0,0,0.09090909090909091
medmcqa_22118,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12907,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_11786,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_29812,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19339,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_17727,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12160,medmcqa,low,4264,1,1,1,1,1.0
mirage_33518,mirage,low,4264,1,1,1,1,1.0
medmcqa_25396,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22088,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_28584,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_17272,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_22351,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22701,medmcqa,low,4264,1,1,1,1,1.0
mirage_37954,mirage,low,4264,1,1,1,1,1.0
mirage_37708,mirage,low,4264,1,1,1,1,1.0
medmcqa_13193,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_18090,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_23101,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_14879,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_26277,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_14842,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_21605,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_15872,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19150,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_26222,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19740,medmcqa,low,4264,1,1,1,1,1.0
mirage_38019,mirage,low,4264,1,1,1,1,1.0
medmcqa_18098,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_25903,medmcqa,low,4264,1,1,1,1,1.0
mirage_37168,mirage,low,4264,1,1,1,1,1.0
medmcqa_18623,medmcqa,low,4264,1,1,1,1,1.0
mirage_37086,mirage,low,4264,1,1,1,1,1.0
medmcqa_15575,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_30114,medmcqa,low,4264,1,1,1,1,1.0
mirage_36506,mirage,low,4264,2,0,1,1,0.5
medmcqa_21855,medmcqa,low,4264,1,1,1,1,1.0
mirage_37308,mirage,low,4264,1,1,1,1,1.0
medmcqa_29705,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20581,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19443,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_16106,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13110,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_26289,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_23684,medmcqa,low,4264,11,0,0,0,0.09090909090909091
mirage_37418,mirage,low,4264,1,1,1,1,1.0
medmcqa_20654,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_25786,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_30274,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20377,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22795,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_11627,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12964,medmcqa,low,4264,1,1,1,1,1.0
mirage_37427,mirage,low,4264,1,1,1,1,1.0
medmcqa_24629,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_15730,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_15634,medmcqa,low,4264,1,1,1,1,1.0
mirage_36886,mirage,low,4264,1,1,1,1,1.0
medmcqa_15347,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_17326,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_26600,medmcqa,low,4264,1,1,1,1,1.0
mirage_33462,mirage,low,4264,1,1,1,1,1.0
medmcqa_17353,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_30239,medmcqa,low,4264,1,1,1,1,1.0
mirage_37112,mirage,low,4264,1,1,1,1,1.0
medmcqa_12249,medmcqa,low,4264,1,1,1,1,1.0
mirage_37014,mirage,low,4264,1,1,1,1,1.0
medmcqa_13907,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13523,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_31388,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_11974,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19758,medmcqa,low,4264,2,0,1,1,0.5
mirage_36176,mirage,low,4264,1,1,1,1,1.0
mirage_36846,mirage,low,4264,1,1,1,1,1.0
mirage_35114,mirage,low,4264,1,1,1,1,1.0
medmcqa_22378,medmcqa,low,4264,1,1,1,1,1.0
mirage_37388,mirage,low,4264,1,1,1,1,1.0
medmcqa_24402,medmcqa,low,4264,1,1,1,1,1.0
mirage_37453,mirage,low,4264,1,1,1,1,1.0
medmcqa_16055,medmcqa,low,4264,29,0,0,0,0.034482758620689655
medmcqa_18412,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_28360,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_30078,medmcqa,low,4264,1,1,1,1,1.0
mirage_37162,mirage,low,4264,1,1,1,1,1.0
mirage_37864,mirage,low,4264,1,1,1,1,1.0
medmcqa_19754,medmcqa,low,4264,1,1,1,1,1.0
mirage_37041,mirage,low,4264,1,1,1,1,1.0
mirage_37542,mirage,low,4264,1,1,1,1,1.0
mirage_36663,mirage,low,4264,1,1,1,1,1.0
mirage_37438,mirage,low,4264,1,1,1,1,1.0
medmcqa_26065,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_22027,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12312,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_16095,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20683,medmcqa,low,4264,33,0,0,0,0.030303030303030304
medmcqa_12732,medmcqa,low,4264,1,1,1,1,1.0
medqa_4155,medqa,low,4264,1,1,1,1,1.0
medmcqa_26988,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12291,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_17046,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_16421,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19822,medmcqa,low,4264,1,1,1,1,1.0
mirage_36192,mirage,low,4264,1,1,1,1,1.0
medmcqa_15897,medmcqa,low,4264,1,1,1,1,1.0
mirage_38268,mirage,low,4264,1,1,1,1,1.0
medmcqa_12703,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22676,medmcqa,low,4264,7,0,0,1,0.14285714285714285
medmcqa_29941,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12659,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_12758,medmcqa,low,4264,3,0,1,1,0.3333333333333333
medmcqa_14330,medmcqa,low,4264,1,1,1,1,1.0
mirage_37482,mirage,low,4264,1,1,1,1,1.0
medqa_6962,medqa,low,4264,1,1,1,1,1.0
medmcqa_12569,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_26696,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_21498,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_15392,medmcqa,low,4264,1,1,1,1,1.0
mirage_37072,mirage,low,4264,1,1,1,1,1.0
medmcqa_25412,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_31125,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22961,medmcqa,low,4264,1,1,1,1,1.0
mirage_37280,mirage,low,4264,1,1,1,1,1.0
medmcqa_12743,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_27151,medmcqa,low,4264,1,1,1,1,1.0
mirage_37205,mirage,low,4264,1,1,1,1,1.0
medmcqa_15624,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_18890,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_16251,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_15681,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12478,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_28115,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20097,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_23290,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13877,medmcqa,low,4264,3,0,1,1,0.3333333333333333
medmcqa_18255,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13730,medmcqa,low,4264,4,0,1,1,0.25
mirage_32573,mirage,low,4264,1,1,1,1,1.0
medmcqa_20851,medmcqa,low,4264,20,0,0,0,0.05
mirage_37855,mirage,low,4264,1,1,1,1,1.0
medmcqa_14267,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13511,medmcqa,low,4264,3,0,1,1,0.3333333333333333
medmcqa_12770,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_16415,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20888,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_11820,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_30373,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_17121,medmcqa,low,4264,46,0,0,0,0.021739130434782608
medqa_7456,medqa,medium,4264,1,1,1,1,1.0
medqa_11402,medqa,medium,4264,1,1,1,1,1.0
medmcqa_19854,medmcqa,medium,4264,2,0,1,1,0.5
medmcqa_15338,medmcqa,medium,4264,1,1,1,1,1.0
mirage_33575,mirage,medium,4264,53,0,0,0,0.018867924528301886
medmcqa_15900,medmcqa,medium,4264,1,1,1,1,1.0
medqa_11287,medqa,medium,4264,75,0,0,0,0.013333333333333334
medmcqa_26363,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_15699,medmcqa,medium,4264,8,0,0,1,0.125
medmcqa_21995,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_24045,medmcqa,medium,4264,1,1,1,1,1.0
medqa_2893,medqa,medium,4264,2,0,1,1,0.5
mirage_36974,mirage,medium,4264,1,1,1,1,1.0
medqa_10595,medqa,medium,4264,1,1,1,1,1.0
medmcqa_27536,medmcqa,medium,4264,1,1,1,1,1.0
mirage_34731,mirage,medium,4264,1,1,1,1,1.0
mirage_36798,mirage,medium,4264,1,1,1,1,1.0
mirage_35022,mirage,medium,4264,1,1,1,1,1.0
medmcqa_13722,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_13052,medmcqa,medium,4264,1,1,1,1,1.0
mirage_31362,mirage,medium,4264,1,1,1,1,1.0
mirage_35893,mirage,medium,4264,1,1,1,1,1.0
medmcqa_20792,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_16161,medmcqa,medium,4264,1,1,1,1,1.0
medqa_718,medqa,medium,4264,1,1,1,1,1.0
medqa_9556,medqa,medium,4264,11,0,0,0,0.09090909090909091
medqa_4777,medqa,medium,4264,2,0,1,1,0.5
medmcqa_17217,medmcqa,medium,4264,1,1,1,1,1.0
medqa_10954,medqa,medium,4264,1,1,1,1,1.0
medqa_925,medqa,medium,4264,1,1,1,1,1.0
medqa_9473,medqa,medium,4264,1,1,1,1,1.0
medmcqa_22843,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_21781,medmcqa,medium,4264,1263,0,0,0,0.000791765637371338
mirage_35683,mirage,medium,4264,1,1,1,1,1.0
medqa_360,medqa,medium,4264,1,1,1,1,1.0
medqa_11167,medqa,medium,4264,8,0,0,1,0.125
medmcqa_23254,medmcqa,medium,4264,1,1,1,1,1.0
medqa_5495,medqa,medium,4264,1,1,1,1,1.0
medmcqa_15721,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_12003,medmcqa,medium,4264,1,1,1,1,1.0
mirage_32425,mirage,medium,4264,2,0,1,1,0.5
medmcqa_23757,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_22662,medmcqa,medium,4264,1,1,1,1,1.0
mirage_33038,mirage,medium,4264,2,0,1,1,0.5
medqa_7165,medqa,medium,4264,1,1,1,1,1.0
medqa_6759,medqa,medium,4264,1,1,1,1,1.0
medmcqa_29846,medmcqa,medium,4264,1,1,1,1,1.0
medqa_2688,medqa,medium,4264,1,1,1,1,1.0
mirage_31253,mirage,medium,4264,1,1,1,1,1.0
medmcqa_12849,medmcqa,medium,4264,1,1,1,1,1.0
medqa_10640,medqa,medium,4264,1,1,1,1,1.0
medmcqa_23359,medmcqa,medium,4264,1,1,1,1,1.0
mirage_31584,mirage,medium,4264,2,0,1,1,0.5
medqa_4529,medqa,medium,4264,1,1,1,1,1.0
medqa_4078,medqa,medium,4264,1,1,1,1,1.0
medmcqa_18770,medmcqa,medium,4264,26,0,0,0,0.038461538461538464
medqa_5385,medqa,medium,4264,1,1,1,1,1.0
medqa_11176,medqa,medium,4264,2,0,1,1,0.5
medmcqa_25698,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_20774,medmcqa,medium,4264,10,0,0,1,0.1
medmcqa_15424,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_24333,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_30096,medmcqa,medium,4264,1,1,1,1,1.0
medqa_775,medqa,medium,4264,1,1,1,1,1.0
medmcqa_25114,medmcqa,medium,4264,1,1,1,1,1.0
medqa_4106,medqa,medium,4264,1,1,1,1,1.0
medmcqa_24420,medmcqa,medium,4264,1,1,1,1,1.0
medqa_1011,medqa,medium,4264,5,0,1,1,0.2
medmcqa_28341,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_19832,medmcqa,medium,4264,15,0,0,0,0.06666666666666667
medmcqa_24345,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_17951,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_14185,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_21430,medmcqa,medium,4264,1,1,1,1,1.0
medqa_1397,medqa,medium,4264,1,1,1,1,1.0
medmcqa_20160,medmcqa,medium,4264,1,1,1,1,1.0
mirage_32382,mirage,medium,4264,1,1,1,1,1.0
medqa_11104,medqa,medium,4264,2,0,1,1,0.5
mirage_35009,mirage,medium,4264,32,0,0,0,0.03125
medmcqa_22074,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_13633,medmcqa,medium,4264,1,1,1,1,1.0
medqa_4508,medqa,medium,4264,1,1,1,1,1.0
medqa_6910,medqa,medium,4264,25,0,0,0,0.04
medmcqa_22557,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_24439,medmcqa,medium,4264,2,0,1,1,0.5
medmcqa_22184,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_26519,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_29912,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_12248,medmcqa,medium,4264,1,1,1,1,1.0
mirage_31738,mirage,medium,4264,41,0,0,0,0.024390243902439025
medmcqa_25348,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_16072,medmcqa,medium,4264,1,1,1,1,1.0
medqa_3425,medqa,medium,4264,1,1,1,1,1.0
medmcqa_25688,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_18980,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_28780,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_26274,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_31241,medmcqa,medium,4264,1,1,1,1,1.0
mirage_31482,mirage,medium,4264,2,0,1,1,0.5
medmcqa_27145,medmcqa,medium,4264,1,1,1,1,1.0
medqa_3693,medqa,medium,4264,15,0,0,0,0.06666666666666667
medqa_10677,medqa,medium,4264,5,0,1,1,0.2
medmcqa_14012,medmcqa,medium,4264,1,1,1,1,1.0
medqa_10325,medqa,medium,4264,1,1,1,1,1.0
medqa_4377,medqa,medium,4264,1,1,1,1,1.0
medqa_1440,medqa,medium,4264,1,1,1,1,1.0
medqa_7703,medqa,medium,4264,312,0,0,0,0.003205128205128205
medqa_5232,medqa,medium,4264,1,1,1,1,1.0
medqa_10758,medqa,medium,4264,1,1,1,1,1.0
medmcqa_20612,medmcqa,medium,4264,1,1,1,1,1.0
medqa_1704,medqa,medium,4264,1,1,1,1,1.0
medmcqa_25072,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_12791,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_23515,medmcqa,medium,4264,1,1,1,1,1.0
medqa_3502,medqa,medium,4264,7,0,0,1,0.14285714285714285
medqa_4911,medqa,medium,4264,16,0,0,0,0.0625
medmcqa_27257,medmcqa,medium,4264,1,1,1,1,1.0
medqa_6631,medqa,medium,4264,1,1,1,1,1.0
medmcqa_11579,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_23996,medmcqa,medium,4264,6,0,0,1,0.16666666666666666
medqa_9519,medqa,medium,4264,2,0,1,1,0.5
medqa_2507,medqa,medium,4264,78,0,0,0,0.01282051282051282
medmcqa_15550,medmcqa,medium,4264,1,1,1,1,1.0
medqa_4923,medqa,medium,4264,52,0,0,0,0.019230769230769232
medqa_9945,medqa,medium,4264,26,0,0,0,0.038461538461538464
medqa_3214,medqa,medium,4264,2,0,1,1,0.5
medqa_9322,medqa,medium,4264,23,0,0,0,0.043478260869565216
medmcqa_31000,medmcqa,medium,4264,6,0,0,1,0.16666666666666666
medqa_6846,medqa,medium,4264,1,1,1,1,1.0
mirage_36395,mirage,medium,4264,1,1,1,1,1.0
medqa_9155,medqa,medium,4264,1,1,1,1,1.0
medmcqa_27714,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_16565,medmcqa,medium,4264,1,1,1,1,1.0
medmcqa_30072,medmcqa,medium,4264,1,1,1,1,1.0
medqa_192,medqa,medium,4264,1,1,1,1,1.0
medmcqa_26018,medmcqa,medium,4264,1,1,1,1,1.0
medqa_1053,medqa,medium,4264,2,0,1,1,0.5
medmcqa_17225,medmcqa,medium,4264,1,1,1,1,1.0
medqa_9825,medqa,medium,4264,3,0,1,1,0.3333333333333333
